REF_DATE,GEO,Finfish and shellfish,Production,SCALAR_FACTOR,VALUE,STATUS
1996,Prince Edward Island,Total finfish,Dollars,thousands,806,
1996,Prince Edward Island,Total shellfish,Tonnes,units,10493,
1996,Prince Edward Island,Total shellfish,Dollars,thousands,13638,
1996,Nova Scotia,Total aquaculture,Tonnes,units,2284,
1996,Nova Scotia,Total aquaculture,Dollars,thousands,10421,
1996,Nova Scotia,Total finfish,Tonnes,units,1511,
1996,Nova Scotia,Total finfish,Dollars,thousands,8337,
1996,Nova Scotia,Total shellfish,Tonnes,units,773,
1996,Nova Scotia,Total shellfish,Dollars,thousands,2084,
1996,New Brunswick,Total aquaculture,Tonnes,units,17663,
1996,New Brunswick,Total aquaculture,Dollars,thousands,129818,
1996,New Brunswick,Total finfish,Tonnes,units,16930,
1996,New Brunswick,Total finfish,Dollars,thousands,128522,
1996,New Brunswick,Total shellfish,Tonnes,units,733,
1996,New Brunswick,Total shellfish,Dollars,thousands,1296,
1996,Quebec,Total aquaculture,Tonnes,units,963,
1996,Quebec,Total aquaculture,Dollars,thousands,4359,
1996,Quebec,Total finfish,Tonnes,units,887,
1996,Quebec,Total finfish,Dollars,thousands,4257,
1996,Quebec,Total shellfish,Tonnes,units,76,
1996,Quebec,Total shellfish,Dollars,thousands,102,
1996,Ontario,Total aquaculture,Tonnes,units,4240,
1996,Ontario,Total aquaculture,Dollars,thousands,19600,
1996,Ontario,Total finfish,Tonnes,units,4240,
1996,Ontario,Total finfish,Dollars,thousands,19600,
1996,Ontario,Total shellfish,Tonnes,units,0,
1996,Ontario,Total shellfish,Dollars,thousands,0,
1996,Manitoba,Total aquaculture,Tonnes,units,,x
1996,Manitoba,Total aquaculture,Dollars,thousands,,x
1996,Manitoba,Total finfish,Tonnes,units,,x
1996,Manitoba,Total finfish,Dollars,thousands,,x
1996,Manitoba,Total shellfish,Tonnes,units,0,
1996,Manitoba,Total shellfish,Dollars,thousands,0,
1996,Saskatchewan,Total aquaculture,Tonnes,units,775,
1996,Saskatchewan,Total aquaculture,Dollars,thousands,3420,
1996,Saskatchewan,Total finfish,Tonnes,units,775,
1996,Saskatchewan,Total finfish,Dollars,thousands,3420,
1996,Saskatchewan,Total shellfish,Tonnes,units,0,
1996,Saskatchewan,Total shellfish,Dollars,thousands,0,
1996,Alberta,Total aquaculture,Tonnes,units,110,
1996,Alberta,Total aquaculture,Dollars,thousands,660,
1996,Alberta,Total finfish,Tonnes,units,110,
1996,Alberta,Total finfish,Dollars,thousands,660,
1996,Alberta,Total shellfish,Tonnes,units,0,
1996,Alberta,Total shellfish,Dollars,thousands,0,
1996,British Columbia,Total aquaculture,Tonnes,units,34431,
1996,British Columbia,Total aquaculture,Dollars,thousands,167266,
1996,British Columbia,Total finfish,Tonnes,units,27830,
1996,British Columbia,Total finfish,Dollars,thousands,156322,
1996,British Columbia,Total shellfish,Tonnes,units,6601,
1996,British Columbia,Total shellfish,Dollars,thousands,10944,
1997,Canada,Total aquaculture,Tonnes,units,81843,
1997,Canada,Total aquaculture,Dollars,thousands,385447,
1997,Canada,Total finfish,Tonnes,units,63918,
1997,Canada,Total finfish,Dollars,thousands,359655,
1997,Canada,Total shellfish,Tonnes,units,17925,
1997,Canada,Total shellfish,Dollars,thousands,25792,
1997,Newfoundland and Labrador,Total aquaculture,Tonnes,units,1750,
1997,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,5011,
1997,Newfoundland and Labrador,Total finfish,Tonnes,units,982,
1997,Newfoundland and Labrador,Total finfish,Dollars,thousands,4282,
1997,Newfoundland and Labrador,Total shellfish,Tonnes,units,768,
1997,Newfoundland and Labrador,Total shellfish,Dollars,thousands,729,
1997,Prince Edward Island,Total aquaculture,Tonnes,units,11496,
1997,Prince Edward Island,Total aquaculture,Dollars,thousands,16128,
1997,Prince Edward Island,Total finfish,Tonnes,units,94,
1997,Prince Edward Island,Total finfish,Dollars,thousands,851,
1997,Prince Edward Island,Total shellfish,Tonnes,units,11402,
1997,Prince Edward Island,Total shellfish,Dollars,thousands,15277,
1997,Nova Scotia,Total aquaculture,Tonnes,units,2631,
1997,Nova Scotia,Total aquaculture,Dollars,thousands,11127,
1997,Nova Scotia,Total finfish,Tonnes,units,1736,
1997,Nova Scotia,Total finfish,Dollars,thousands,9203,
1997,Nova Scotia,Total shellfish,Tonnes,units,895,
1997,Nova Scotia,Total shellfish,Dollars,thousands,1924,
1997,New Brunswick,Total aquaculture,Tonnes,units,19537,
1997,New Brunswick,Total aquaculture,Dollars,thousands,145691,
1997,New Brunswick,Total finfish,Tonnes,units,19135,
1997,New Brunswick,Total finfish,Dollars,thousands,145016,
1997,New Brunswick,Total shellfish,Tonnes,units,402,
1997,New Brunswick,Total shellfish,Dollars,thousands,675,
1997,Quebec,Total aquaculture,Tonnes,units,794,
1997,Quebec,Total aquaculture,Dollars,thousands,3458,
1997,Quebec,Total finfish,Tonnes,units,667,
1997,Quebec,Total finfish,Dollars,thousands,3282,
1997,Quebec,Total shellfish,Tonnes,units,127,
1997,Quebec,Total shellfish,Dollars,thousands,176,
1997,Ontario,Total aquaculture,Tonnes,units,3725,
1997,Ontario,Total aquaculture,Dollars,thousands,15900,
1997,Ontario,Total finfish,Tonnes,units,3725,
1997,Ontario,Total finfish,Dollars,thousands,15900,
1997,Ontario,Total shellfish,Tonnes,units,0,
1997,Ontario,Total shellfish,Dollars,thousands,0,
1997,Manitoba,Total aquaculture,Tonnes,units,5,
1997,Manitoba,Total aquaculture,Dollars,thousands,23,
1997,Manitoba,Total finfish,Tonnes,units,5,
1997,Manitoba,Total finfish,Dollars,thousands,23,
1997,Manitoba,Total shellfish,Tonnes,units,0,
1997,Manitoba,Total shellfish,Dollars,thousands,0,
1997,Saskatchewan,Total aquaculture,Tonnes,units,721,
1997,Saskatchewan,Total aquaculture,Dollars,thousands,3175,
1997,Saskatchewan,Total finfish,Tonnes,units,721,
1997,Saskatchewan,Total finfish,Dollars,thousands,3175,
1997,Saskatchewan,Total shellfish,Tonnes,units,0,
1997,Saskatchewan,Total shellfish,Dollars,thousands,0,
1997,Alberta,Total aquaculture,Tonnes,units,3,
1997,Alberta,Total aquaculture,Dollars,thousands,12,
1997,Alberta,Total finfish,Tonnes,units,3,
1997,Alberta,Total finfish,Dollars,thousands,12,
1997,Alberta,Total shellfish,Tonnes,units,0,
1997,Alberta,Total shellfish,Dollars,thousands,0,
1997,British Columbia,Total aquaculture,Tonnes,units,41008,
1997,British Columbia,Total aquaculture,Dollars,thousands,183777,
1997,British Columbia,Total finfish,Tonnes,units,36677,
1997,British Columbia,Total finfish,Dollars,thousands,176766,
1997,British Columbia,Total shellfish,Tonnes,units,4331,
1997,British Columbia,Total shellfish,Dollars,thousands,7011,
1998,Canada,Total aquaculture,Tonnes,units,91499,
1998,Canada,Total aquaculture,Dollars,thousands,430414,
1998,Canada,Total finfish,Tonnes,units,67554,
1998,Canada,Total finfish,Dollars,thousands,396107,
1998,Canada,Total shellfish,Tonnes,units,23945,
1998,Canada,Total shellfish,Dollars,thousands,34307,
1998,Newfoundland and Labrador,Total aquaculture,Tonnes,units,2727,
1998,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,10941,
1998,Newfoundland and Labrador,Total finfish,Tonnes,units,1765,
1998,Newfoundland and Labrador,Total finfish,Dollars,thousands,10041,
1998,Newfoundland and Labrador,Total shellfish,Tonnes,units,962,
1998,Newfoundland and Labrador,Total shellfish,Dollars,thousands,900,
1998,Prince Edward Island,Total aquaculture,Tonnes,units,14532,
1998,Prince Edward Island,Total aquaculture,Dollars,thousands,20439,
